"pool_id","theory","probed_in_study2","n_category_probes","n_comprehension_probes"
"relativist01","relativist",FALSE,0,0
"relativist02","relativist",FALSE,0,0
"relativist03","relativist",FALSE,0,0
"relativist04","relativist",FALSE,0,0
"relativist05","relativist",FALSE,0,0
"contractualist01","contractualist",TRUE,30,30
"contractualist02","contractualist",TRUE,24,24
"contractualist03","contractualist",TRUE,33,33
"contractualist04","contractualist",TRUE,23,23
"contractualist05","contractualist",FALSE,0,0
"contractualist06","contractualist",TRUE,32,32
"hedonism01","hedonism",TRUE,40,40
"hedonism02","hedonism",TRUE,24,24
"hedonism03","hedonism",TRUE,30,30
"hedonism04","hedonism",FALSE,0,0
"hedonism05","hedonism",FALSE,0,0
"hedonism06","hedonism",FALSE,0,0
"hedonism07","hedonism",TRUE,32,32
"hedonism08","hedonism",TRUE,32,32
"hedonism09","hedonism",FALSE,0,0
"utilitarian01","utilitarian",TRUE,28,28
"utilitarian02","utilitarian",FALSE,0,0
"utilitarian03","utilitarian",FALSE,0,0
"utilitarian04","utilitarian",FALSE,0,0
"utilitarian05","utilitarian",FALSE,0,0
"utilitarian06","utilitarian",FALSE,0,0
"utilitarian07","utilitarian",FALSE,0,0
"utilitarian08","utilitarian",FALSE,0,0
"utilitarian09","utilitarian",FALSE,0,0
"utilitarian10","utilitarian",FALSE,0,0
"deontology01","deontology",TRUE,33,33
"deontology02","deontology",TRUE,33,33
"deontology03","deontology",TRUE,30,30
"deontology04","deontology",TRUE,32,32
"deontology05","deontology",TRUE,29,29
"deontology06","deontology",FALSE,0,0
"deontology07","deontology",TRUE,32,32
"deontology08","deontology",TRUE,38,38
"deontology09","deontology",TRUE,29,29
"deontology10","deontology",FALSE,0,0
"deontology11","deontology",FALSE,0,0
"virtue01","virtue",TRUE,25,25
"virtue02","virtue",FALSE,0,0
"virtue03","virtue",FALSE,0,0
"virtue04","virtue",FALSE,0,0
"virtue05","virtue",FALSE,0,0
"virtue06","virtue",FALSE,0,0
"virtue07","virtue",FALSE,0,0
"virtue08","virtue",FALSE,0,0
"virtue09","virtue",TRUE,35,35
