"lhs","op","rhs","est","ci.lower","ci.upper","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)","technology","test"
"Hedonism","~~","Utilitarianism",0.806138800214688,0.751559138998368,0.860718461431009,688,33130.1954301051,33614.0743402883,1521.59965784198,23.6930490417,1,1.12989895818558e-06,"NPP","r_fixed_0.9"
"Hedonism","~~","Contractualism",0.67860280363612,0.586747281660852,0.770458325611388,688,33199.2983791245,33683.1772893077,1590.70260686141,634.5698389024,1,5.06907740778792e-140,"NPP","r_fixed_0.9"
"Hedonism","~~","Deontology",0.742638660558975,0.671788094139811,0.813489226978138,688,33155.1176930148,33638.9966031979,1546.52192075167,65.9984946874,1,4.51267498866428e-16,"NPP","r_fixed_0.9"
"Hedonism","~~","Virtue",0.599747943847365,0.508875783225685,0.690620104469045,688,33244.1418723453,33728.0207825284,1635.54610008216,1120.0140220839,1,1.47566138400745e-245,"NPP","r_fixed_0.9"
"Hedonism","~~","Relativism",0.776690947511672,0.707020254078631,0.846361640944712,688,33142.7782082903,33626.6571184735,1534.18243602722,32.6285961792,1,1.11561215212447e-08,"NPP","r_fixed_0.9"
"Utilitarianism","~~","Contractualism",0.734574377953269,0.666257054758841,0.802891701147698,688,33169.9087574333,33653.7876676165,1561.31298517021,142.0077760144,1,9.6868161346281e-33,"NPP","r_fixed_0.9"
"Utilitarianism","~~","Deontology",0.843735723834734,0.799241344691808,0.88823010297766,688,33111.2929608475,33595.1718710307,1502.69718858438,9.9698894561,1,0.00159121045597276,"NPP","r_fixed_0.9"
"Utilitarianism","~~","Virtue",0.654417759514044,0.572734808556136,0.736100710471953,688,33215.6084199828,33699.487330166,1607.01264771969,116.7782496279,1,3.21027212290609e-27,"NPP","r_fixed_0.9"
"Utilitarianism","~~","Relativism",0.760043815824423,0.68639596230715,0.833691669341695,688,33154.261205894,33638.1401160772,1545.66543363088,58.4233227991,1,2.11370358248764e-14,"NPP","r_fixed_0.9"
"Contractualism","~~","Deontology",0.81110877118781,0.728696007031145,0.893521535344476,688,33122.86845024,33606.7473604232,1514.27267797689,9.8040330981,1,0.00174129564601285,"NPP","r_fixed_0.9"
"Contractualism","~~","Virtue",0.660803361006951,0.572120610833423,0.749486111180478,688,33208.5752367876,33692.4541469708,1599.97946452451,224.7059299241,1,8.51036932709423e-51,"NPP","r_fixed_0.9"
"Contractualism","~~","Relativism",0.686499516368132,0.588407658629693,0.784591374106572,688,33193.9426411061,33677.8215512892,1585.34686884294,272.4861439093,1,3.25892259389873e-61,"NPP","r_fixed_0.9"
"Deontology","~~","Virtue",0.694229907319495,0.610471215263799,0.777988599375191,688,33180.8638604411,33664.7427706242,1572.26808817796,138.219390728,1,6.52542897067865e-32,"NPP","r_fixed_0.9"
"Deontology","~~","Relativism",0.773456755684582,0.701141782900606,0.845771728468558,688,33139.3506659424,33623.2295761256,1530.75489367932,30.8820755909,1,2.74192567264728e-08,"NPP","r_fixed_0.9"
"Virtue","~~","Relativism",0.607499233220769,0.510826475126497,0.70417199131504,688,33238.0476403796,33721.9265505628,1629.45186811649,818.6546317773,1,4.7453279253141e-180,"NPP","r_fixed_0.9"
"Hedonism","~~","Utilitarianism",0.806138800214688,0.751559138998368,0.860718461431009,692,33742.6933702749,34211.7973519028,2142.09759801173,274.7188897977,5,2.71291724929961e-57,"NPP","factor_merge"
"Hedonism","~~","Contractualism",0.67860280363612,0.586747281660852,0.770458325611388,692,34040.3568970019,34509.4608786298,2439.76112473875,1047.8949043242,5,2.56478436725317e-224,"NPP","factor_merge"
"Hedonism","~~","Deontology",0.742638660558975,0.671788094139811,0.813489226978138,692,33588.3525327443,34057.4565143722,1987.75676048117,282.4863382185,5,5.81821826649436e-59,"NPP","factor_merge"
"Hedonism","~~","Virtue",0.599747943847365,0.508875783225685,0.690620104469045,692,34187.5838261197,34656.6878077477,2586.98805385663,921.4246004633,5,6.13920301140907e-197,"NPP","factor_merge"
"Hedonism","~~","Relativism",0.776690947511672,0.707020254078631,0.846361640944712,692,33667.5555153701,34136.659496998,2066.95974310697,251.0270990663,5,3.30931070045454e-52,"NPP","factor_merge"
"Utilitarianism","~~","Contractualism",0.734574377953269,0.666257054758841,0.802891701147698,692,34023.7978446466,34492.9018262745,2423.20207238348,359.947414898,5,1.26242026152592e-75,"NPP","factor_merge"
"Utilitarianism","~~","Deontology",0.843735723834734,0.799241344691808,0.88823010297766,692,33407.5903233317,33876.6943049597,1806.99455106859,151.0676336367,5,7.91137011652883e-31,"NPP","factor_merge"
"Utilitarianism","~~","Virtue",0.654417759514044,0.572734808556136,0.736100710471953,692,34154.3546929784,34623.4586746064,2553.75892071529,416.2317428035,5,9.40531761970939e-88,"NPP","factor_merge"
"Utilitarianism","~~","Relativism",0.760043815824423,0.68639596230715,0.833691669341695,692,33816.9786394011,34286.082621029,2216.38286713794,311.5422787624,5,3.30159130253758e-65,"NPP","factor_merge"
"Contractualism","~~","Deontology",0.81110877118781,0.728696007031145,0.893521535344476,692,33462.2364439447,33931.3404255727,1861.6406716816,200.2546775064,5,2.5057159242074e-41,"NPP","factor_merge"
